Team,Rank,Did Community,Auto Cones High,Auto Cones Mid,Auto Cones Low,Auto Cubes High,Auto Cubes Mid,Auto Cubes Low,Teleop Cones High,Teleop Cones Mid,Teleop Cones Low,Teleop Cubes High,Teleop Cubes Mid,Teleop Cubes Low,Teleop Pins,Charging Time Start,Charging Time End
1690,1,0.9,1.1,0,0,0.6,0.5,0,3.2,1.2,0,1.3,0.9,1.1,0,1.1,1.3
1577,2,0.9,0.1,0,0.7,0,0,0,2.6,2.5,0.2,2,1,1.5,0.1,3.4,1.4
3339,3,0.4,0.4,0.4,0.1,0.3,0,0,2.4,0.4,1.3,1.8,0.6,1.7,0,6.9,6.1
1731,4,1,0.7,0,0,0.1,0,0.1,2.5,2.2,0.5,0.4,0.3,2.3,0,5.9,2.8
1574,5,0.5,0.6,0.1,0.1,0.5,0.1,0,1.2,0.3,0.3,0.7,0.2,3.1,0.1,30.8,29
2630,6,0.9,1,0,0,0,0,0,2.8,0.6,0.4,1.4,0.3,0.2,0.1,22.9,7.2
2096,7,0.5,0.8,0.1,0,0.4,0,0,1.9,0.3,0.5,1.3,0.4,3.6,0.5,6.1,9.2
5951,8,0.9,1,0,0,0,0,0,1.3,0.7,0.5,1.3,0.4,3.2,0.2,12,4.5
3316,9,0.7,0.4,0,0.2,0.1,0.1,0.1,0.6,1.4,0.8,0,0.9,0.7,0,6.9,25.7
4586,10,0.1,0.5,0.1,0,0.2,0,0,0,0,0,0.2,0.1,2,2.4,9.4,1.7
5715,11,0.5,0.6,0.4,0.1,0,0.1,0,2.1,0.4,0.4,0.5,0.2,0,0,2.2,0.9
3211,12,0.6,0,0,0,0.8,0,0.7,0,0.1,0.1,0.6,0.7,4.7,0,5.3,1
1942,13,0.4,0.1,0,0,0.9,0,0,0.1,3.5,0.7,0.2,1.2,0.3,0,4.5,2.8
3065,14,1,0,0.8,0,0,0,0,0,2.4,0.4,0.5,1.3,0.6,0,0.3,4.5
5987,15,0.7,0.9,0,0,0.2,0,0,2.8,0.7,0,1.3,0.1,0,0,2.1,0.5
9999,16,0.4,0,0,0,0,0,0,1.1,0.6,2.1,0,0,0.1,0,14.2,25.2
7039,17,0.9,0.1,0.9,0,0.2,0,0,0.4,1.4,0.1,1.7,1,2.7,0.5,9.5,6.1
7112,18,0.1,0,0,0,0,0,0.8,0,0,0,0,0,0,0.9,7.1,2.6
2231,19,0.4,0.1,0.5,0,0.3,0.1,0.1,0.3,0.1,0.1,1.1,0.5,0.9,0.9,1.2,1
3075,20,0.8,0.4,0,0.4,0,0,0.1,0.9,0,0.3,0.9,0.1,2.7,0.2,2.8,1.6
7845,21,0.1,0.9,0,0.1,0,0,0,0.8,1,2.6,0.1,0.6,0.6,0,10.3,3
5614,22,0.4,1,0,0,0,0,0,0,0,0,0.5,0.1,3.1,0,7.2,5
6738,23,0.3,0,1,0,0,0,0,1.6,0.7,0,0,0,0,2.9,17.5,7.9
8223,24,0.3,0,-0.4,0,0.9,0,0,2,0.1,0.1,1,0.2,0.1,0,22.8,24.3
3083,25,0.7,0,0,0,0,0,0,0,0,0,0.1,0,0.4,1.7,20.1,6.8
4590,26,0.9,0.6,0,0.4,0,0,0,1,0.1,0.2,1.2,0,0.4,0.5,15.2,2.4
5990,27,0.6,0,0,0,0.5,0.3,0.3,1,0.2,0.1,0.3,0,0.6,0,1.1,0.1
2679,28,1,0,0,0,0.7,0.2,0,0.3,0.2,0.5,0.1,0.2,1.5,0,14.1,4.4
3835,29,0,0,0.2,0,0,0,0,0,0,0.3,0,0.9,0.4,0,11.1,4
2230,30,0.9,0,0,0.1,0.8,0,0,1.7,0,2.2,0.2,0,0,0,12.5,11.7
7067,31,1,0,0,0.8,0,0,0.1,0,0.1,1.7,0,0,0,1,9.5,1.5
1943,32,1,0,0,0,0,0,0.9,0,0,0,0,0,0.2,5.7,21.2,13.2
6741,33,0.3,0,0,0,0,0,0.4,0,0,0,0,0,0.3,0.9,5.4,0.4
5928,34,0.9,0,0,0,0,0,0,0,0,0.4,0,0,0.1,2.1,10.3,8.4
